Method,Parameter_Name,Parameter_Type,Parent,Children,Same_As_Parent,Description,Reference_of_documentation,Used_For,Used_By?,Informal_Propositions,Rules_Name,Rules_Description,Calling_Parameters,Calling_Param_Types,Supertypes,Called_from_x_as,Called_element_from_x
IfcWorkSchedule,"[GlobalId, OwnerHistory, Name, Description, ObjectType, Identification, CreationDate, Creators, Purpose, Duration, TotalFloat, StartTime, FinishTime, PredefinedType]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX, IfcLabel ? FIX, IfcIdentifier ? FIX, IfcDateTime FIX, IfcPerson S[1:?]?, IfcLabel ? FIX, IfcDuration ? FIX, IfcDuration ? FIX, IfcDateTime FIX, IfcDateTime ? FIX, IfcWorkScheduleTypeEnum ? FIX]",IfcWorkControl,NULL,FALSE,"An IfcWorkSchedule represents a task schedule of a work plan, which in turn can contain a set of schedules for different purposes.",5.3.3.11,,"Manager",NULL,"[CorrectPredefinedType]","[The attribute ObjectType must be asserted when the value of the IfcWorkScheduleTypeEnum is set to USERDEFINED.]","[HasAssignments, Nests, IsNestedBy, HasContext, IsDecomposedBy, Decomposes, HasAssociations, IsDeclaredBy, Declares, IsTypedBy, IsDefinedBy, Controls]","[IfcRelAssigns @RelatedObjects S[0:?], IfcRelNests @RelatedObjects S[0:1], IfcRelNests @RelatingObject S[0:?], IfcRelDeclares @RelatedDefinitions S[0:1], IfcRelAggregates @RelatingObject S[0:?], IfcRelAggregates @RelatedObjects S[0:1], IfcRelAssociates @RelatedObjects S[0:?], IfcRelDefinesByObject @RelatedObjects S[0:1], IfcRelDefinesByObject @RelatingObject S[0:?], IfcRelDefinesByType @RelatedObjects S[0:1], IfcRelDefinesByProperties @RelatedObjects S[0:?], IfcRelAssignsToControl @RelatingControl S[0:?]]","[IfcRoot, IfcObjectDefinition, IfcObject, IfcControl, IfcWorkControl]","[]","[]"
IfcAnnotation,"[GlobalId, OwnerHistory, Name, Description, ObjectType, ObjectPlacement, Representation]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX, IfcLabel ? FIX, IfcObjectPlacement ?, IfcProductRepresentation ?]",IfcProduct,NULL,FALSE,"An annotation is an information element within the geometric (and spatial) context of a project, that adds a note or meaning to the objects which constitutes the project model. Annotations include additional points, curves, text, dimensioning, hatching and other forms of graphical notes. It also includes virtual or symbolic representations of additional model components, not representing products or spatial structures, such as event elements, survey points, contour lines or similar.",5.4.3.1,"","",NULL,"[]","[]","[HasAssignments, Nests, IsNestedBy, HasContext, IsDecomposedBy, Decomposes, HasAssociations, IsDeclaredBy, Declares, IsTypedBy, IsDefinedBy, ReferencedBy, ContainedInStructure]","[IfcRelAssigns @RelatedObjects S[0:?], IfcRelNests @RelatedObjects S[0:1], IfcRelNests @RelatingObject S[0:?], IfcRelDeclares @RelatedDefinitions S[0:1], IfcRelAggregates @RelatingObject S[0:?], IfcRelAggregates @RelatedObjects S[0:1], IfcRelAssociates @RelatedObjects S[0:?], IfcRelDefinesByObject @RelatedObjects S[0:1], IfcRelDefinesByObject @RelatingObject S[0:?], IfcRelDefinesByType @RelatedObjects S[0:1], IfcRelDefinesByProperties @RelatedObjects S[0:?], IfcRelAssignsToProduct @RelatingProduct S[0:?], IfcRelContainedInSpatialStructure @RelatedElements S[0:1]]","[IfcRoot, IfcObjectDefinition, IfcObject, IfcProduct]","[]","[]"
IfcBuilding,"[GlobalId, OwnerHistory, Name, Description, ObjectType, ObjectPlacement, Representation, LongName, CompositionType, ElevationOfRefHeight, ElevationOfTerrain, BuildingAddress]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX, IfcLabel ? FIX, IfcObjectPlacement ?, IfcProductRepresentation ?, IfcLabel ? FIX, IfcElementCompositionEnum ? FIX, IfcLengthMeasure ? FIX, IfcLengthMeasure ? FIX, IfcPostalAddress ?]",IfcSpatialStructureElement,NULL,FALSE,"A building represents a structure that provides shelter for its occupants or contents and stands in one place. The building is also used to provide a basic element within the spatial structure hierarchy for the components of a building project (together with site, storey, and space).",5.4.3.2,"","",NULL,"[]","[]","[HasAssignments, Nests, IsNestedBy, HasContext, IsDecomposedBy, Decomposes, HasAssociations, IsDeclaredBy, Declares, IsTypedBy, IsDefinedBy, ReferencedBy, ContainsElements, ServicedBySystems, ReferencesElements]","[IfcRelAssigns @RelatedObjects S[0:?], IfcRelNests @RelatedObjects S[0:1], IfcRelNests @RelatingObject S[0:?], IfcRelDeclares @RelatedDefinitions S[0:1], IfcRelAggregates @RelatingObject S[0:?], IfcRelAggregates @RelatedObjects S[0:1], IfcRelAssociates @RelatedObjects S[0:?], IfcRelDefinesByObject @RelatedObjects S[0:1], IfcRelDefinesByObject @RelatingObject S[0:?], IfcRelDefinesByType @RelatedObjects S[0:1], IfcRelDefinesByProperties @RelatedObjects S[0:?], IfcRelAssignsToProduct @RelatingProduct S[0:?], IfcRelContainedInSpatialStructure @RelatingStructure S[0:?], IfcRelServicesBuildings @RelatedBuildings S[0:?], IfcRelReferencedInSpatialStructure @RelatingStructure S[0:?]]","[IfcRoot, IfcObjectDefinition, IfcObject, IfcProduct, IfcSpatialElement, IfcSpatialStructureElement]","[]","[]"
IfcBuildingElement,"[GlobalId, OwnerHistory, Name, Description, ObjectType, ObjectPlacement, Representation, Tag]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX, IfcLabel ? FIX, IfcObjectPlacement ?, IfcProductRepresentation ?, IfcIdentifier ? FIX]",IfcElement,"[IfcBeam, IfcBuildingElementProxy, IfcChimney, IfcColumn, IfcCovering, IfcCurtainWall, IfcDoor, IfcFooting, IfcMember, IfcPile, IfcPlate, IfcRailing, IfcRamp, IfcRampFlight, IfcRoof, IfcShadingDevice, IfcSlab, IfcStair, IfcStairFlight, IfcWall, IfcWindow]",FALSE,"The building element comprises all elements that are primarily part of the construction of a building, i.e., its structural and space separating system. Building elements are all physically existent and tangible things.",5.4.3.3,"","",NULL,"[MaxOneMaterialAssociation]","[There should be only a maximum of one material association assigned to an building element.]","[HasAssignments, Nests, IsNestedBy, HasContext, IsDecomposedBy, Decomposes, HasAssociations, IsDeclaredBy, Declares, IsTypedBy, IsDefinedBy, ReferencedBy, FillsVoids, ConnectedTo, IsInterferedByElements, InterferesElements, ReferencedInStructures, HasProjections, HasOpenings, IsConnectionRealization, ProvidesBoundaries, ConnectedFrom, ContainedInStructure, HasCoverings]","[IfcRelAssigns @RelatedObjects S[0:?], IfcRelNests @RelatedObjects S[0:1], IfcRelNests @RelatingObject S[0:?], IfcRelDeclares @RelatedDefinitions S[0:1], IfcRelAggregates @RelatingObject S[0:?], IfcRelAggregates @RelatedObjects S[0:1], IfcRelAssociates @RelatedObjects S[0:?], IfcRelDefinesByObject @RelatedObjects S[0:1], IfcRelDefinesByObject @RelatingObject S[0:?], IfcRelDefinesByType @RelatedObjects S[0:1], IfcRelDefinesByProperties @RelatedObjects S[0:?], IfcRelAssignsToProduct @RelatingProduct S[0:?], IfcRelFillsElement @RelatedBuildingElement S[0:1], IfcRelConnectsElements @RelatingElement S[0:?], IfcRelInterferesElements @RelatedElement S[0:?], IfcRelInterferesElements @RelatingElement S[0:?], IfcRelProjectsElement @RelatingElement S[0:?], IfcRelReferencedInSpatialStructure @RelatedElements S[0:?], IfcRelVoidsElement @RelatingBuildingElement S[0:?], IfcRelConnectsWithRealizingElements @RealizingElements S[0:?], IfcRelSpaceBoundary @RelatedBuildingElement S[0:?], IfcRelConnectsElements @RelatedElement S[0:?], IfcRelContainedInSpatialStructure @RelatedElements S[0:1], IfcRelCoversBldgElements @RelatingBuildingElement S[0:?]]","[IfcRoot, IfcObjectDefinition, IfcObject, IfcProduct, IfcElement]","[]","[]"
IfcBuildingElementType,"[GlobalId, OwnerHistory, Name, Description, ApplicableOccurrence, HasPropertySets, RepresentationMaps, Tag, ElementType]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX, IfcIdentifier ? FIX, IfcPropertySetDefinition S[1:?]?, IfcRepresentationMap L[1:?]?, IfcLabel ? FIX, IfcLabel ? FIX]",IfcElementType,"[IfcBeamType, IfcBuildingElementProxyType, IfcChimneyType, IfcColumnType, IfcCoveringType, IfcCurtainWallType, IfcDoorType, IfcFootingType, IfcMemberType, IfcPileType, IfcPlateType, IfcRailingType, IfcRampFlightType, IfcRampType, IfcRoofType, IfcShadingDeviceType, IfcSlabType, IfcStairFlightType, IfcStairType, IfcWallType, IfcWindowType]",FALSE,"The IfcBuildingElementType provides the type information for IfcBuildingElement occurrences.",5.4.3.4,"","",NULL,"[]","[]","[HasAssignments, Nests, IsNestedBy, HasContext, IsDecomposedBy, Decomposes, HasAssociations, Types, ReferencedBy]","[IfcRelAssigns @RelatedObjects S[0:?], IfcRelNests @RelatedObjects S[0:1], IfcRelNests @RelatingObject S[0:?], IfcRelDeclares @RelatedDefinitions S[0:1], IfcRelAggregates @RelatingObject S[0:?], IfcRelAggregates @RelatedObjects S[0:1], IfcRelAssociates @RelatedObjects S[0:?], IfcRelDefinesByType @RelatingType S[0:1], IfcRelAssignsToProduct @RelatingProduct S[0:?]]","[IfcRoot, IfcObjectDefinition, IfcTypeObject, IfcTypeProduct, IfcElementType]","[]","[]"
IfcBuildingStorey,"[GlobalId, OwnerHistory, Name, Description, ObjectType, ObjectPlacement, Representation, LongName, CompositionType, Elevation]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX, IfcLabel ? FIX, IfcObjectPlacement ?, IfcProductRepresentation ?, IfcLabel ? FIX, IfcElementCompositionEnum ? FIX, IfcLengthMeasure ? FIX]",IfcSpatialStructureElement,NULL,FALSE,"The building storey has an elevation and typically represents a (nearly) horizontal aggregation of spaces that are vertically bound. A storey is (if specified) associated to a building. A storey may span over several connected storeys. Therefore storey complex provides for a collection of storeys included in a building. A storey can also be decomposed in (horizontical) parts, where each part defines a partial storey.",5.4.3.5,"","",NULL,"[]","[]","[HasAssignments, Nests, IsNestedBy, HasContext, IsDecomposedBy, Decomposes, HasAssociations, IsDeclaredBy, Declares, IsTypedBy, IsDefinedBy, ReferencedBy, ContainsElements, ServicedBySystems, ReferencesElements]","[IfcRelAssigns @RelatedObjects S[0:?], IfcRelNests @RelatedObjects S[0:1], IfcRelNests @RelatingObject S[0:?], IfcRelDeclares @RelatedDefinitions S[0:1], IfcRelAggregates @RelatingObject S[0:?], IfcRelAggregates @RelatedObjects S[0:1], IfcRelAssociates @RelatedObjects S[0:?], IfcRelDefinesByObject @RelatedObjects S[0:1], IfcRelDefinesByObject @RelatingObject S[0:?], IfcRelDefinesByType @RelatedObjects S[0:1], IfcRelDefinesByProperties @RelatedObjects S[0:?], IfcRelAssignsToProduct @RelatingProduct S[0:?], IfcRelContainedInSpatialStructure @RelatingStructure S[0:?], IfcRelServicesBuildings @RelatedBuildings S[0:?], IfcRelReferencedInSpatialStructure @RelatingStructure S[0:?]]","[IfcRoot, IfcObjectDefinition, IfcObject, IfcProduct, IfcSpatialElement, IfcSpatialStructureElement]","[]","[]"
IfcCivilElement,"[GlobalId, OwnerHistory, Name, Description, ObjectType, ObjectPlacement, Representation, Tag]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX, IfcLabel ? FIX, IfcObjectPlacement ?, IfcProductRepresentation ?, IfcIdentifier ? FIX]",IfcElement,NULL,TRUE,"An IfcCivilElement is a generalization of all elements within a civil engineering works that cannot be represented as BuildingElements, DistributionElements or GeographicElements. Depending on the context of the construction project, included building work, such as buildings or factories, are represented as a collection of IfcBuildingElement's, distribution systems, such as piping or drainage, are represented as a collection of IfcDistributionElement's, and other geographic elements, such as trees, light posts, traffic signs etc. are represented as IfcGeographicElement's.",5.4.3.6,"","",NULL,"[]","[]","[HasAssignments, Nests, IsNestedBy, HasContext, IsDecomposedBy, Decomposes, HasAssociations, IsDeclaredBy, Declares, IsTypedBy, IsDefinedBy, ReferencedBy, FillsVoids, ConnectedTo, IsInterferedByElements, InterferesElements, ReferencedInStructures, HasProjections, HasOpenings, IsConnectionRealization, ProvidesBoundaries, ConnectedFrom, ContainedInStructure, HasCoverings]","[IfcRelAssigns @RelatedObjects S[0:?], IfcRelNests @RelatedObjects S[0:1], IfcRelNests @RelatingObject S[0:?], IfcRelDeclares @RelatedDefinitions S[0:1], IfcRelAggregates @RelatingObject S[0:?], IfcRelAggregates @RelatedObjects S[0:1], IfcRelAssociates @RelatedObjects S[0:?], IfcRelDefinesByObject @RelatedObjects S[0:1], IfcRelDefinesByObject @RelatingObject S[0:?], IfcRelDefinesByType @RelatedObjects S[0:1], IfcRelDefinesByProperties @RelatedObjects S[0:?], IfcRelAssignsToProduct @RelatingProduct S[0:?], IfcRelFillsElement @RelatedBuildingElement S[0:1], IfcRelConnectsElements @RelatingElement S[0:?], IfcRelInterferesElements @RelatedElement S[0:?], IfcRelInterferesElements @RelatingElement S[0:?], IfcRelProjectsElement @RelatingElement S[0:?], IfcRelReferencedInSpatialStructure @RelatedElements S[0:?], IfcRelVoidsElement @RelatingBuildingElement S[0:?], IfcRelConnectsWithRealizingElements @RealizingElements S[0:?], IfcRelSpaceBoundary @RelatedBuildingElement S[0:?], IfcRelConnectsElements @RelatedElement S[0:?], IfcRelContainedInSpatialStructure @RelatedElements S[0:1], IfcRelCoversBldgElements @RelatingBuildingElement S[0:?]]","[IfcRoot, IfcObjectDefinition, IfcObject, IfcProduct, IfcElement]","[]","[]"
IfcCivilElementType,"[GlobalId, OwnerHistory, Name, Description, ApplicableOccurrence, HasPropertySets, RepresentationMaps, Tag, ElementType]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX, IfcIdentifier ? FIX, IfcPropertySetDefinition S[1:?]?, IfcRepresentationMap L[1:?]?, IfcLabel ? FIX, IfcLabel ? FIX]",IfcElementType,NULL,TRUE,"An IfcCivilElementType is used to define an element specification of an element used within civil engineering works. Civil element types include for different types of element that may be used to represent information for construction works external to a building.",5.4.3.7,"","",NULL,"[]","[]","[HasAssignments, Nests, IsNestedBy, HasContext, IsDecomposedBy, Decomposes, HasAssociations, Types, ReferencedBy]","[IfcRelAssigns @RelatedObjects S[0:?], IfcRelNests @RelatedObjects S[0:1], IfcRelNests @RelatingObject S[0:?], IfcRelDeclares @RelatedDefinitions S[0:1], IfcRelAggregates @RelatingObject S[0:?], IfcRelAggregates @RelatedObjects S[0:1], IfcRelAssociates @RelatedObjects S[0:?], IfcRelDefinesByType @RelatingType S[0:1], IfcRelAssignsToProduct @RelatingProduct S[0:?]]","[IfcRoot, IfcObjectDefinition, IfcTypeObject, IfcTypeProduct, IfcElementType]","[]","[]"
IfcDistributionElement,"[GlobalId, OwnerHistory, Name, Description, ObjectType, ObjectPlacement, Representation, Tag]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX, IfcLabel ? FIX, IfcObjectPlacement ?, IfcProductRepresentation ?, IfcIdentifier ? FIX]",IfcElement,"[IfcDistributionControlElement, IfcDistributionFlowElement]",TRUE,"This IfcDistributionElement is a generalization of all elements that participate in a distribution system. E.g. building service elements within a heating/plumbing/ventilation/... system.",5.4.3.8,"","",NULL,"[]","[]","[HasAssignments, Nests, IsNestedBy, HasContext, IsDecomposedBy, Decomposes, HasAssociations, IsDeclaredBy, Declares, IsTypedBy, IsDefinedBy, ReferencedBy, FillsVoids, ConnectedTo, IsInterferedByElements, InterferesElements, ReferencedInStructures, HasProjections, HasOpenings, IsConnectionRealization, ProvidesBoundaries, ConnectedFrom, ContainedInStructure, HasCoverings, HasPorts]","[IfcRelAssigns @RelatedObjects S[0:?], IfcRelNests @RelatedObjects S[0:1], IfcRelNests @RelatingObject S[0:?], IfcRelDeclares @RelatedDefinitions S[0:1], IfcRelAggregates @RelatingObject S[0:?], IfcRelAggregates @RelatedObjects S[0:1], IfcRelAssociates @RelatedObjects S[0:?], IfcRelDefinesByObject @RelatedObjects S[0:1], IfcRelDefinesByObject @RelatingObject S[0:?], IfcRelDefinesByType @RelatedObjects S[0:1], IfcRelDefinesByProperties @RelatedObjects S[0:?], IfcRelAssignsToProduct @RelatingProduct S[0:?], IfcRelFillsElement @RelatedBuildingElement S[0:1], IfcRelConnectsElements @RelatingElement S[0:?], IfcRelInterferesElements @RelatedElement S[0:?], IfcRelInterferesElements @RelatingElement S[0:?], IfcRelProjectsElement @RelatingElement S[0:?], IfcRelReferencedInSpatialStructure @RelatedElements S[0:?], IfcRelVoidsElement @RelatingBuildingElement S[0:?], IfcRelConnectsWithRealizingElements @RealizingElements S[0:?], IfcRelSpaceBoundary @RelatedBuildingElement S[0:?], IfcRelConnectsElements @RelatedElement S[0:?], IfcRelContainedInSpatialStructure @RelatedElements S[0:1], IfcRelCoversBldgElements @RelatingBuildingElement S[0:?], IfcRelConnectsPortToElement @RelatedElement S[0:?]]","[IfcRoot, IfcObjectDefinition, IfcObject, IfcProduct, IfcElement]","[]","[]"
IfcDistributionElementType,"[GlobalId, OwnerHistory, Name, Description, ApplicableOccurrence, HasPropertySets, RepresentationMaps, Tag, ElementType]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX, IfcIdentifier ? FIX, IfcPropertySetDefinition S[1:?]?, IfcRepresentationMap L[1:?]?, IfcLabel ? FIX, IfcLabel ? FIX]",IfcElementType,"[IfcDistributionControlElementType, IfcDistributionFlowElementType]",TRUE,"The IfcDistributionElementType defines a list of commonly shared property set definitions of an element and an optional set of product representations. It is used to define an element specification (i.e. the specific product information, that is common to all occurrences of that product type).",5.4.3.9,"","",NULL,"[]","[]","[HasAssignments, Nests, IsNestedBy, HasContext, IsDecomposedBy, Decomposes, HasAssociations, Types, ReferencedBy]","[IfcRelAssigns @RelatedObjects S[0:?], IfcRelNests @RelatedObjects S[0:1], IfcRelNests @RelatingObject S[0:?], IfcRelDeclares @RelatedDefinitions S[0:1], IfcRelAggregates @RelatingObject S[0:?], IfcRelAggregates @RelatedObjects S[0:1], IfcRelAssociates @RelatedObjects S[0:?], IfcRelDefinesByType @RelatingType S[0:1], IfcRelAssignsToProduct @RelatingProduct S[0:?]]","[IfcRoot, IfcObjectDefinition, IfcTypeObject, IfcTypeProduct, IfcElementType]","[]","[]"
IfcElement,"[GlobalId, OwnerHistory, Name, Description, ObjectType, ObjectPlacement, Representation, Tag]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX, IfcLabel ? FIX, IfcObjectPlacement ?, IfcProductRepresentation ?, IfcIdentifier ? FIX]",IfcProduct,"[IfcBuildingElement, IfcCivilElement, IfcDistributionElement, IfcElementAssembly, IfcElementComponent, IfcFeatureElement, IfcFurnishingElement, IfcGeographicElement, IfcTransportElement, IfcVirtualElement]",FALSE,"An element is a generalization of all components that make up an AEC product. Elements are physically existent objects, although they might be void elements, such as holes. Elements either remain permanently in the AEC product, or only temporarily, as formwork does. Elements can be either assembled on site or pre-manufactured and built in on site.",5.4.3.10,"","",NULL,"[]","[]","[HasAssignments, Nests, IsNestedBy, HasContext, IsDecomposedBy, Decomposes, HasAssociations, IsDeclaredBy, Declares, IsTypedBy, IsDefinedBy, ReferencedBy, FillsVoids, ConnectedTo, IsInterferedByElements, InterferesElements, ReferencedInStructures, HasProjections, HasOpenings, IsConnectionRealization, ProvidesBoundaries, ConnectedFrom, ContainedInStructure, HasCoverings]","[IfcRelAssigns @RelatedObjects S[0:?], IfcRelNests @RelatedObjects S[0:1], IfcRelNests @RelatingObject S[0:?], IfcRelDeclares @RelatedDefinitions S[0:1], IfcRelAggregates @RelatingObject S[0:?], IfcRelAggregates @RelatedObjects S[0:1], IfcRelAssociates @RelatedObjects S[0:?], IfcRelDefinesByObject @RelatedObjects S[0:1], IfcRelDefinesByObject @RelatingObject S[0:?], IfcRelDefinesByType @RelatedObjects S[0:1], IfcRelDefinesByProperties @RelatedObjects S[0:?], IfcRelAssignsToProduct @RelatingProduct S[0:?], IfcRelFillsElement @RelatedBuildingElement S[0:1], IfcRelConnectsElements @RelatingElement S[0:?], IfcRelInterferesElements @RelatedElement S[0:?], IfcRelInterferesElements @RelatingElement S[0:?], IfcRelProjectsElement @RelatingElement S[0:?], IfcRelReferencedInSpatialStructure @RelatedElements S[0:?], IfcRelVoidsElement @RelatingBuildingElement S[0:?], IfcRelConnectsWithRealizingElements @RealizingElements S[0:?], IfcRelSpaceBoundary @RelatedBuildingElement S[0:?], IfcRelConnectsElements @RelatedElement S[0:?], IfcRelContainedInSpatialStructure @RelatedElements S[0:1], IfcRelCoversBldgElements @RelatingBuildingElement S[0:?]]","[IfcRoot, IfcObjectDefinition, IfcObject, IfcProduct]","[]","[]"
IfcElementAssembly,"[GlobalId, OwnerHistory, Name, Description, ObjectType, ObjectPlacement, Representation, Tag, AssemblyPlace, PredefinedType]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX, IfcLabel ? FIX, IfcObjectPlacement ?, IfcProductRepresentation ?, IfcIdentifier ? FIX, IfcAssemblyPlaceEnum ? FIX, IfcElementAssemblyTypeEnum ? FIX]",IfcElement,NULL,FALSE,"The IfcElementAssembly represents complex element assemblies aggregated from several elements, such as discrete elements, building elements, or other elements.",5.4.3.11,"","","1. The IfcElementAssembly shall have an aggregation relationship to the contained parts, i.e. the (INV) IsDecomposedBy relationship shall be utilized.","[CorrectPredefinedType, CorrectTypeAssigned]","[Either the PredefinedType attribute is unset (e.g. because an IfcElementAssemblyType is associated); or the inherited attribute ObjectType shall be provided; if the PredefinedType is set to USERDEFINED., Either there is no element assembly type object associated - i.e. the IsTypedBy inverse relationship is not provided - or the associated type object has to be of type IfcElementAssemblyType.]","[HasAssignments, Nests, IsNestedBy, HasContext, IsDecomposedBy, Decomposes, HasAssociations, IsDeclaredBy, Declares, IsTypedBy, IsDefinedBy, ReferencedBy, FillsVoids, ConnectedTo, IsInterferedByElements, InterferesElements, ReferencedInStructures, HasProjections, HasOpenings, IsConnectionRealization, ProvidesBoundaries, ConnectedFrom, ContainedInStructure, HasCoverings]","[IfcRelAssigns @RelatedObjects S[0:?], IfcRelNests @RelatedObjects S[0:1], IfcRelNests @RelatingObject S[0:?], IfcRelDeclares @RelatedDefinitions S[0:1], IfcRelAggregates @RelatingObject S[0:?], IfcRelAggregates @RelatedObjects S[0:1], IfcRelAssociates @RelatedObjects S[0:?], IfcRelDefinesByObject @RelatedObjects S[0:1], IfcRelDefinesByObject @RelatingObject S[0:?], IfcRelDefinesByType @RelatedObjects S[0:1], IfcRelDefinesByProperties @RelatedObjects S[0:?], IfcRelAssignsToProduct @RelatingProduct S[0:?], IfcRelFillsElement @RelatedBuildingElement S[0:1], IfcRelConnectsElements @RelatingElement S[0:?], IfcRelInterferesElements @RelatedElement S[0:?], IfcRelInterferesElements @RelatingElement S[0:?], IfcRelProjectsElement @RelatingElement S[0:?], IfcRelReferencedInSpatialStructure @RelatedElements S[0:?], IfcRelVoidsElement @RelatingBuildingElement S[0:?], IfcRelConnectsWithRealizingElements @RealizingElements S[0:?], IfcRelSpaceBoundary @RelatedBuildingElement S[0:?], IfcRelConnectsElements @RelatedElement S[0:?], IfcRelContainedInSpatialStructure @RelatedElements S[0:1], IfcRelCoversBldgElements @RelatingBuildingElement S[0:?]]","[IfcRoot, IfcObjectDefinition, IfcObject, IfcProduct, IfcElement]","[]","[]"
IfcElementAssemblyType,"[GlobalId, OwnerHistory, Name, Description, ApplicableOccurrence, HasPropertySets, RepresentationMaps, Tag, ElementType, PredefinedType]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX, IfcIdentifier ? FIX, IfcPropertySetDefinition S[1:?]?, IfcRepresentationMap L[1:?]?, IfcLabel ? FIX, IfcLabel ? FIX, IfcElementAssemblyTypeEnum FIX]",IfcElementType,NULL,FALSE,"The IfcElementAssemblyType defines a list of commonly shared property set definitions of an element and an optional set of product representations. It is used to define an element specification (i.e. the specific product information, that is common to all occurrences of that product type).",5.4.3.12,"","",NULL,"[CorrectPredefinedType]","[The inherited attribute ElementType shall be provided; if the PredefinedType is set to USERDEFINED.]","[HasAssignments, Nests, IsNestedBy, HasContext, IsDecomposedBy, Decomposes, HasAssociations, Types, ReferencedBy]","[IfcRelAssigns @RelatedObjects S[0:?], IfcRelNests @RelatedObjects S[0:1], IfcRelNests @RelatingObject S[0:?], IfcRelDeclares @RelatedDefinitions S[0:1], IfcRelAggregates @RelatingObject S[0:?], IfcRelAggregates @RelatedObjects S[0:1], IfcRelAssociates @RelatedObjects S[0:?], IfcRelDefinesByType @RelatingType S[0:1], IfcRelAssignsToProduct @RelatingProduct S[0:?]]","[IfcRoot, IfcObjectDefinition, IfcTypeObject, IfcTypeProduct, IfcElementType]","[]","[]"
IfcElementQuantity,"[GlobalId, OwnerHistory, Name, Description, MethodOfMeasurement, Quantities]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX, IfcLabel ? FIX, IfcPhysicalQuantity S[1:?]]",IfcQuantitySet,NULL,FALSE,"An IfcElementQuantity defines a set of derived measures of an element's physical property. Elements could be spatial structure elements (like buildings, storeys, or spaces) or building elements (like walls, slabs, finishes). The IfcElementQuantity gets assigned to the element by using the IfcRelDefinesByProperties relationship.",5.4.3.13,"","",NULL,"[UniqueQuantityNames]","[Every individual IfcPhysicalQuantity within the set Quantities shall have a unique Name attribute value.]","[HasContext, HasAssociations, DefinesType, IsDefinedBy, DefinesOccurrence]","[IfcRelDeclares @RelatedDefinitions S[0:1], IfcRelAssociates @RelatedObjects S[0:?], IfcTypeObject @HasPropertySets S[0:?], IfcRelDefinesByTemplate @RelatedPropertySets S[0:?], IfcRelDefinesByProperties @RelatingPropertyDefinition S[0:?]]","[IfcRoot, IfcPropertyDefinition, IfcPropertySetDefinition, IfcQuantitySet]","[]","[]"
IfcElementType,"[GlobalId, OwnerHistory, Name, Description, ApplicableOccurrence, HasPropertySets, RepresentationMaps, Tag, ElementType]","[IfcGloballyUniqueId FIX, IfcOwnerHistory ?, IfcLabel ? FIX, IfcText ? FIX, IfcIdentifier ? FIX, IfcPropertySetDefinition S[1:?]?, IfcRepresentationMap L[1:?]?, IfcLabel ? FIX, IfcLabel ? FIX]",IfcTypeProduct,"[IfcBuildingElementType, IfcCivilElementType, IfcDistributionElementType, IfcElementAssemblyType, IfcElementComponentType, IfcFurnishingElementType, IfcGeographicElementType, IfcTransportElementType]",FALSE,"IfcElementType defines a list of commonly shared property set definitions of an element and an optional set of product representations. It is used to define an element specification (i.e. the specific product information, that is common to all occurrences of that product type).",5.4.3.14,"","",NULL,"[]","[]","[HasAssignments, Nests, IsNestedBy, HasContext, IsDecomposedBy, Decomposes, HasAssociations, Types, ReferencedBy]","[IfcRelAssigns @RelatedObjects S[0:?], IfcRelNests @RelatedObjects S[0:1], IfcRelNests @RelatingObject S[0:?], IfcRelDeclares @RelatedDefinitions S[0:1], IfcRelAggregates @RelatingObject S[0:?], IfcRelAggregates @RelatedObjects S[0:1], IfcRelAssociates @RelatedObjects S[0:?], IfcRelDefinesByType @RelatingType S[0:1], IfcRelAssignsToProduct @RelatingProduct S[0:?]]","[IfcRoot, IfcObjectDefinition, IfcTypeObject, IfcTypeProduct]","[]","[]"
